StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Question One:,Question Two:_1,Question 3:,Question 4_1,Question 5,Question 6,Question 7,Follow-Up,Question 8,Question 9,Question 10,Question 11
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How do you typically manage your personal budget?,"How confident are you in managing your personal finances?

1: Not confident at all

5: Very confident - 1: Not confident at all",Do you have any student loans?,"How concerned are you about your student debt?

1: Not confident at all

5: Very confident - 1: Not confident at all","In a few sentences, how do you think student debt will affect your future financial decisions (e.g., buying a home, saving for retirement)?",What is your biggest expense?,Are you currently employed while attending school?,Do you plan on working soon?,"Are you currently saving for future expenses, such as buying a home or continuing education?","Are you currently saving for retirement (e.g., 401k, IRA)?",How confident are you in your ability to achieve financial independence in the future?,Are you confident that you'll be able to find a job within a year after graduating college?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}"
2024-10-03 00:29:12,2024-10-03 00:31:21,IP Address,75.113.174.26,100,129,True,2024-10-03 00:31:22,R_6ptUxouZJpGZzd0,,,,,35.3965,-119.1268,anonymous,EN,Using a budgeting app,5,No,5,"I think that student debt heavily impacts future financial decisions. Loans affect credit for good or bad depending on if you pay your loans off. ",Groceries/Food,"Yes, part-time.",,Yes,Yes,Confident,Not Confident
2024-10-03 00:37:32,2024-10-03 00:39:15,IP Address,16.98.110.3,100,102,True,2024-10-03 00:39:15,R_3qjJmQOgjh0JqMc,,,,,35.3407,-119.0596,anonymous,EN,Using a budgeting app,3,No,4,Student debt will have a big impact on my financial future decisions.,Entertainment,"Yes, part-time.",,Yes,Yes,Confident,Not Confident
2024-10-18 23:00:18,2024-10-18 23:03:11,IP Address,12.75.215.68,100,172,True,2024-10-18 23:03:12,R_1fNPk5c9JlYtBop,,,,,33.7046,-117.8739,anonymous,EN,I don't manage a budget,4,No,3,"BuYiNg A hoMe ",Entertainment,No,Maybe,No,No,Not Confident,Not Confident
2024-10-19 21:20:25,2024-10-19 21:23:19,IP Address,75.113.140.94,100,173,True,2024-10-19 21:23:19,R_1wiOxM6SEJqsMnv,,,,,35.7768,-119.2414,anonymous,EN,Manually (notebook or Excel),,No,1,Too in my own head. conscious of my spending habits. inclined to save and pay off debt which i may have to sacrifice days of food and luxury.,Groceries/Food,"Yes, part-time.",,No,Yes,Confident,Not Confident
2024-10-19 21:28:49,2024-10-19 21:32:31,IP Address,172.4.136.220,100,222,True,2024-10-19 21:32:32,R_1MyQDRnWHO4gCDz,,,,,35.3044,-119.1031,anonymous,EN,No budgeting at all,2,No,0,I think student debt will have me try to save more money and buy only what I need. This means being more careful with spending on things I want rather than things I need.,Other,No,Yes,No,No,Confident,Confident
2024-10-20 20:37:40,2024-10-20 20:39:40,IP Address,75.113.69.116,100,119,True,2024-10-20 20:39:40,R_1OZdq3KQOAXegtb,,,,,35.3878,-118.936,anonymous,EN,I don't manage a budget,4,No,,"If I had student debt, I believe it would affect. ",Rent/Mortgage,"Yes, part-time.",,Yes,No,Confident,Confident
2024-10-20 22:26:10,2024-10-20 22:28:15,IP Address,136.168.48.129,100,125,True,2024-10-20 22:28:16,R_6VNDBXUxPotP9ON,,,,,35.3044,-119.1031,anonymous,EN,I don't manage a budget,4,No,0,I'm not taking on any debt which will be helpful in the future as it's one less expense to worry about.,Transportation,"Yes, part-time.",,No,No,Confident,Confident
2024-10-20 23:28:26,2024-10-20 23:29:35,IP Address,52.13.51.29,100,68,True,2024-10-20 23:29:36,R_6h4JhrK6ZKPohXx,,,,,45.8491,-119.7143,anonymous,EN,No budgeting at all,4,No,4,Nah,Groceries/Food,"Yes, full-time.",,Yes,Yes,Confident,Confident
