room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5453,8021,Private room,Jamaica Plain,53,5,2,1,171,1,42.322109,-71.109265,33:58.0
5506,8229,Private room,Roxbury,30,4.5,2,1,165,3,42.329809,-71.095595,03:21.1
6695,8229,Entire home/apt,Roxbury,39,5,4,1,222,3,42.329941,-71.093505,14:31.7
6976,16701,Private room,Roslindale,26,5,2,1,74,1,42.292438,-71.135765,27:09.3
8789,26988,Entire home/apt,Downtown,1,5,2,1,165,5,42.359187,-71.062651,38:22.0
8792,26988,Entire home/apt,Downtown,11,4.5,3,1,228,5,42.358596,-71.061446,39:47.0
9273,4804,Entire home/apt,East Boston,8,5,4,2,257,3,42.364608,-71.029021,23:25.9
9765,25188,Entire home/apt,South End,5,4.5,2,1,319,3,42.342594,-71.079421,13:51.9
9824,25188,Entire home/apt,Back Bay,18,4,2,1,212,2,42.349496,-71.085954,43:42.8
9827,25188,Entire home/apt,Downtown,8,4.5,3,1,330,3,42.352838,-71.063167,45:52.0
9855,25188,Entire home/apt,Fenway,3,4.5,3,1,291,4,42.343371,-71.098708,01:29.8
9857,25188,Entire home/apt,Beacon Hill,11,4,4,2,451,2,42.356271,-71.074377,02:50.7
9858,25188,Entire home/apt,Back Bay,0,,5,2,512,2,42.344471,-71.081786,03:24.2
9860,25188,Entire home/apt,Beacon Hill,11,3.5,2,1,211,2,42.356071,-71.072691,04:43.7
9870,25188,Entire home/apt,South End,3,4,2,1,273,2,42.344227,-71.077878,09:40.5
9903,25188,Entire home/apt,Mission Hill,0,,2,1,296,3,42.335296,-71.101462,24:11.9
10730,26988,Entire home/apt,Downtown,13,4.5,3,1,188,5,42.358403,-71.06185,54:33.6
10758,38440,Private room,Allston,0,,1,1,131,1,42.353449,-71.131797,58:39.0
10807,38440,Private room,Allston,0,,2,1,91,1,42.354123,-71.130486,22:16.5
10809,38440,Private room,Allston,1,4.5,4,1,114,1,42.354788,-71.132088,23:29.4
10810,38440,Private room,Allston,0,,2,1,97,4,42.353359,-71.130344,23:49.0
12356,26988,Entire home/apt,Beacon Hill,0,,3,1,200,14,42.358988,-71.063247,29:06.1
12441,25188,Entire home/apt,Beacon Hill,13,4,6,3,558,3,42.355165,-71.072211,15:04.2
13059,50866,Entire home/apt,North End,10,4.5,10,3,428,2,42.363982,-71.050309,56:35.4
13060,50866,Entire home/apt,North End,32,4.5,5,1,257,2,42.362409,-71.051612,57:16.4
13247,51637,Entire home/apt,Back Bay,0,,1,0,240,7,42.351641,-71.087523,32:18.9
13589,25188,Entire home/apt,Beacon Hill,21,4,6,3,515,2,42.355804,-71.072751,06:12.1
13592,25188,Entire home/apt,Beacon Hill,11,3.5,4,2,444,2,42.355887,-71.072179,07:52.0
18711,71783,Entire home/apt,Dorchester,14,4.5,6,3,205,3,42.323286,-71.062103,07:32.8
21337,25188,Entire home/apt,Back Bay,10,4.5,4,2,398,4,42.346425,-71.07827,40:34.3
21891,25188,Entire home/apt,Downtown,16,4.5,4,2,398,3,42.352179,-71.06316,04:16.6
22100,84651,Entire home/apt,North End,7,5,2,1,257,3,42.365255,-71.051705,37:51.6
22195,85130,Entire home/apt,Back Bay,8,3.5,4,0,274,1,42.347593,-71.07748,26:24.3
22208,25188,Entire home/apt,South End,3,4.5,2,1,257,3,42.34321,-71.07776,32:51.0
22212,25188,Entire home/apt,Back Bay,11,4.5,5,2,415,3,42.349954,-71.086602,34:54.5
22354,85770,Private room,South End,123,4.5,1,1,126,1,42.344957,-71.074857,36:42.2
22869,85130,Entire home/apt,South End,4,4.5,2,0,240,1,42.343657,-71.079786,38:24.1
23370,25188,Entire home/apt,Back Bay,5,4,3,1,330,4,42.346091,-71.078578,32:37.6
23619,93112,Entire home/apt,Beacon Hill,66,4.5,2,1,183,4,42.35846,-71.06327,28:46.0
23668,25188,Entire home/apt,West End,0,,2,1,341,4,42.363568,-71.068927,55:26.2
24232,97805,Entire home/apt,Chinatown,52,5,2,1,154,1,42.34698,-71.06398,21:18.0
24240,97821,Entire home/apt,North End,18,5,6,2,257,1,42.36366,-71.050232,24:45.5
25142,25188,Entire home/apt,Fenway,7,4.5,4,2,394,3,42.344865,-71.1026,22:00.7
25418,25188,Entire home/apt,West End,2,5,3,1,316,5,42.364945,-71.067668,32:40.1
26160,46575,Private room,Jamaica Plain,87,5,3,1,96,2,42.3195,-71.112318,18:59.3
27141,25188,Entire home/apt,South End,4,4,2,1,291,2,42.342586,-71.079691,58:17.5
27546,119019,Private room,Dorchester,109,4.5,3,1,68,1,42.298349,-71.059104,15:45.3
27611,119381,Entire home/apt,Jamaica Plain,2,4.5,2,0,200,3,42.315565,-71.114827,46:48.1
28150,25188,Entire home/apt,Back Bay,9,4.5,2,1,259,2,42.353975,-71.072612,01:25.6
29155,25188,Entire home/apt,Beacon Hill,13,4.5,6,3,515,2,42.356142,-71.074242,51:11.4
29765,128280,Entire home/apt,Charlestown,84,5,2,1,337,2,42.378338,-71.066627,29:54.5
31796,119019,Private room,Dorchester,167,4.5,4,1,63,1,42.299773,-71.060476,20:57.8
