city tmpd dptp date pm25tmean2 pm10tmean2 o3tmean2 no2tmean2
chic 31.5 31.5 1987-01-01 NA 34 4.25 19.988095238
chic 33 29.875 1987-01-02 NA NA 3.3043478261 23.190993789
chic 33 27.375 1987-01-03 NA 34.166666667 3.3333333333 23.81547619
chic 29 28.625 1987-01-04 NA 47 4.375 30.43452381
chic 32 28.875 1987-01-05 NA NA 4.75 30.333333333
chic 40 35.125 1987-01-06 NA 48 5.8333333333 25.772330671
chic 34.5 26.75 1987-01-07 NA 41 9.2916666667 20.581709957
chic 29 22 1987-01-08 NA 36 11.291666667 17.037230861
chic 26.5 29 1987-01-09 NA 33.285714286 4.5 23.388888889
chic 32.5 27.75 1987-01-10 NA NA 4.9583333333 19.541666667
chic 29.5 20.125 1987-01-11 NA 22 17.541666667 13.701388889
chic 34.5 26 1987-01-12 NA 26 8 33.020833333
chic 34 32.25 1987-01-13 NA 53 4.9583333333 38.061417749
chic 37.5 36.375 1987-01-14 NA 43 4.2083333333 32.194444444
chic 32.5 24.25 1987-01-15 NA 28.833333333 4.4583333333 18.871309524
chic 25 21.5 1987-01-16 NA 19 7.9166666667 19.466666667
chic 27 24.75 1987-01-17 NA NA 5.8333333333 20.708333333
chic 17.5 11.125 1987-01-18 NA 39 6.375 21.033333333
chic 23 15.75 1987-01-19 NA 32 14.875 17.174094203
chic 20.5 11.5 1987-01-20 NA 38 7.25 21.610210804
chic 22 20.625 1987-01-21 NA 32.857142857 8.9130434783 24.520833333
chic 19.5 7.375 1987-01-22 NA 52 10.5 16.987977602
chic 2.5 -12.25 1987-01-23 NA 55 14.625 14.6625
chic 2 -5.625 1987-01-24 NA 38 10.083333333 18.691666667
chic 9.5 -5.25 1987-01-25 NA NA 6.6666666667 26.304166667
chic 16 4.75 1987-01-26 NA 71 4.5833333333 32.421428571
chic 17.5 17.75 1987-01-27 NA 39.333333333 6 30.693055556
chic 29.5 18.25 1987-01-28 NA 47 6.875 29.129428341
chic 29.5 32.875 1987-01-29 NA 35 2.9166666667 28.145289855
chic 32.5 24.125 1987-01-30 NA 59 8.7916666667 19.798611111
chic 27.5 26.5 1987-01-31 NA 36 10.375 25.267361111
chic 41 32.25 1987-02-01 NA NA 8.0416666667 21.701388889
chic 36.5 34 1987-02-02 NA 41.166666667 6.0416666667 30.784722222
chic 34 26.25 1987-02-03 NA 59 8.0416666667 20.14614899
chic 31.5 24.25 1987-02-04 NA 37 10.5 29.999275362
chic 29.5 27.25 1987-02-05 NA 70 5.7291666667 38.909090909
chic 37 30.375 1987-02-06 NA 63 6.4148550725 27.994708995
chic 40.5 35.75 1987-02-07 NA 44 5.75 25.090277778
chic 32.5 3.5 1987-02-08 NA 18.25 24.9375 10.646825397
chic 24.5 17.375 1987-02-09 NA 42 9.2083333333 25.579861111
chic 35 27.375 1987-02-10 NA 36 8.3125 31.327459376
chic 39.5 29.375 1987-02-11 NA 83 8.121541502 42.001125384
chic 34 24.75 1987-02-12 NA 84 7.6875 34.993055556
